species	taxid	in_refseq_protein	total	NP_	XP_	WP_	YP_	OTHER	XP_ratio
Legionella bozemanae	447	YES	12104	0	0	12104	0	0	0.0000
Legionella erythra	448	YES	2921	0	0	2921	0	0	0.0000
Legionella hackeliae	449	YES	3373	0	0	3373	0	0	0.0000
Legionella longbeachae	450	YES	7485	0	0	7485	0	0	0.0000
Legionella micdadei	451	YES	4603	0	0	4603	0	0	0.0000
Legionella spiritensis	452	YES	5127	0	0	5127	0	0	0.0000
Legionella feeleii	453	YES	6114	0	0	6114	0	0	0.0000
Legionella israelensis	454	YES	7444	0	0	7444	0	0	0.0000
Legionella jamestowniensis	455	YES	4129	0	0	4129	0	0	0.0000
Legionella jordanis	456	YES	3693	0	0	3693	0	0	0.0000
Legionella rubrilucens	458	YES	2638	0	0	2638	0	0	0.0000
Legionella sp.	459	YES	13595	0	0	13595	0	0	0.0000
Legionella steigerwaltii	460	YES	3204	0	0	3204	0	0	0.0000
Fluoribacter	461	YES	44	0	0	44	0	0	0.0000
Fluoribacter dumoffii	463	YES	5491	0	0	5491	0	0	0.0000
Fluoribacter gormanii	464	YES	8232	0	0	8232	0	0	0.0000
Legionella maceachernii	466	YES	1971	0	0	1971	0	0	0.0000
Moraxellaceae	468	YES	7078	0	0	7078	0	0	0.0000
Acinetobacter	469	YES	449693	0	0	449693	0	0	0.0000
Acinetobacter baumannii	470	YES	991244	0	0	991244	0	0	0.0000
Acinetobacter calcoaceticus	471	YES	86558	0	0	86558	0	0	0.0000
Acinetobacter sp.	472	YES	95224	0	0	95224	0	0	0.0000
Moraxella	475	YES	9059	0	0	9059	0	0	0.0000
Moraxella bovis	476	YES	13070	0	0	13070	0	0	0.0000
Moraxella lacunata	477	YES	9778	0	0	9778	0	0	0.0000
Moraxella nonliquefaciens	478	YES	9986	0	0	9986	0	0	0.0000
Moraxella sp.	479	YES	12879	0	0	12879	0	0	0.0000
Moraxella catarrhalis	480	YES	55173	0	0	55173	0	0	0.0000
Neisseriaceae	481	YES	4949	0	0	4949	0	0	0.0000
Neisseria	482	YES	57884	0	0	57884	0	0	0.0000
Neisseria cinerea	483	YES	18790	0	0	18790	0	0	0.0000
Neisseria flavescens	484	YES	13913	0	0	13913	0	0	0.0000
Neisseria gonorrhoeae	485	YES	95146	0	0	95146	0	0	0.0000
Neisseria lactamica	486	YES	27611	0	0	27611	0	0	0.0000
Neisseria meningitidis	487	YES	193354	0	0	193354	0	0	0.0000
Neisseria mucosa	488	YES	15318	0	0	15318	0	0	0.0000
Neisseria polysaccharea	489	YES	18272	0	0	18272	0	0	0.0000
Neisseria sicca	490	YES	29101	0	0	29101	0	0	0.0000
Neisseria animalis	492	YES	1987	0	0	1987	0	0	0.0000
Neisseria canis	493	YES	2447	0	0	2447	0	0	0.0000
Bergeriella denitrificans	494	YES	2285	0	0	2285	0	0	0.0000
Neisseria elongata	495	YES	34266	0	0	34266	0	0	0.0000
