species	taxid	in_refseq_protein	total	NP_	XP_	WP_	YP_	OTHER	XP_ratio
Streptomyces sp. NPDC007960	3364798	YES	127	0	0	127	0	0	0.0000
Streptomyces sp. NPDC007971	3364799	YES	7075	0	0	7075	0	0	0.0000
Streptomyces sp. NPDC007983	3364800	YES	7774	0	0	7774	0	0	0.0000
Streptomyces sp. NPDC007984	3364801	YES	5149	0	0	5149	0	0	0.0000
Streptomyces sp. NPDC007988	3364802	YES	1628	0	0	1628	0	0	0.0000
Streptomyces sp. NPDC007991	3364803	YES	7440	0	0	7440	0	0	0.0000
Streptomyces sp. NPDC008001	3364804	YES	6125	0	0	6125	0	0	0.0000
Streptomyces sp. NPDC008061	3364805	YES	1840	0	0	1840	0	0	0.0000
Streptomyces sp. NPDC008079	3364806	YES	3203	0	0	3203	0	0	0.0000
Streptomyces sp. NPDC008086	3364807	YES	4718	0	0	4718	0	0	0.0000
Streptomyces sp. NPDC008092	3364808	YES	9179	0	0	9179	0	0	0.0000
Streptomyces sp. NPDC008121	3364809	YES	3843	0	0	3843	0	0	0.0000
Streptomyces sp. NPDC008122	3364810	YES	6095	0	0	6095	0	0	0.0000
Streptomyces sp. NPDC008125	3364811	YES	6332	0	0	6332	0	0	0.0000
Streptomyces sp. NPDC008132	3364812	YES	49	0	0	49	0	0	0.0000
Streptomyces sp. NPDC008137	3364813	YES	7202	0	0	7202	0	0	0.0000
Streptomyces sp. NPDC008139	3364814	YES	5555	0	0	5555	0	0	0.0000
Streptomyces sp. NPDC008141	3364815	YES	4777	0	0	4777	0	0	0.0000
Streptomyces sp. NPDC008150	3364816	YES	4328	0	0	4328	0	0	0.0000
Streptomyces sp. NPDC008159	3364817	YES	6827	0	0	6827	0	0	0.0000
Streptomyces sp. NPDC008163	3364818	YES	5708	0	0	5708	0	0	0.0000
Streptomyces sp. NPDC008196	3364819	YES	1421	0	0	1421	0	0	0.0000
Streptomyces sp. NPDC008222	3364820	YES	4065	0	0	4065	0	0	0.0000
Streptomyces sp. NPDC008240	3364822	YES	2756	0	0	2756	0	0	0.0000
Streptomyces sp. NPDC008259	3364823	YES	37	0	0	37	0	0	0.0000
Streptomyces sp. NPDC008265	3364824	YES	3588	0	0	3588	0	0	0.0000
Streptomyces sp. NPDC008312	3364825	YES	491	0	0	491	0	0	0.0000
Streptomyces sp. NPDC008313	3364826	YES	6410	0	0	6410	0	0	0.0000
Streptomyces sp. NPDC008317	3364827	YES	3010	0	0	3010	0	0	0.0000
Streptomyces sp. NPDC008343	3364828	YES	7162	0	0	7162	0	0	0.0000
Streptomyces sp. NPDC010273	3364829	YES	6483	0	0	6483	0	0	0.0000
Streptomyces sp. NPDC012389	3364830	YES	3535	0	0	3535	0	0	0.0000
Streptomyces sp. NPDC012403	3364831	YES	3499	0	0	3499	0	0	0.0000
Streptomyces sp. NPDC012421	3364832	YES	3901	0	0	3901	0	0	0.0000
Streptomyces sp. NPDC012438	3364833	YES	2082	0	0	2082	0	0	0.0000
Streptomyces sp. NPDC012450	3364834	YES	1714	0	0	1714	0	0	0.0000
Streptomyces sp. NPDC012466	3364835	YES	3557	0	0	3557	0	0	0.0000
Streptomyces sp. NPDC012474	3364836	YES	4391	0	0	4391	0	0	0.0000
Streptomyces sp. NPDC012508	3364837	YES	5271	0	0	5271	0	0	0.0000
Streptomyces sp. NPDC012510	3364838	YES	7819	0	0	7819	0	0	0.0000
Streptomyces sp. NPDC012589	3364839	YES	830	0	0	830	0	0	0.0000
Streptomyces sp. NPDC012616	3364840	YES	5622	0	0	5622	0	0	0.0000
Streptomyces sp. NPDC012623	3364841	YES	24	0	0	24	0	0	0.0000
Streptomyces sp. NPDC012637	3364842	YES	6222	0	0	6222	0	0	0.0000
Streptomyces sp. NPDC012689	3364843	YES	3	0	0	3	0	0	0.0000
Streptomyces sp. NPDC012693	3364844	YES	1885	0	0	1885	0	0	0.0000
Streptomyces sp. NPDC012746	3364845	YES	1627	0	0	1627	0	0	0.0000
Streptomyces sp. NPDC012751	3364846	YES	1652	0	0	1652	0	0	0.0000
Streptomyces sp. NPDC012756	3364847	YES	2119	0	0	2119	0	0	0.0000
Streptomyces sp. NPDC012769	3364848	YES	7012	0	0	7012	0	0	0.0000
Streptomyces sp. NPDC012793	3364849	YES	7	0	0	7	0	0	0.0000
Streptomyces sp. NPDC012794	3364850	YES	4964	0	0	4964	0	0	0.0000
Streptomyces sp. NPDC012825	3364851	YES	5106	0	0	5106	0	0	0.0000
Streptomyces sp. NPDC012827	3364852	YES	17	0	0	17	0	0	0.0000
Streptomyces sp. NPDC012829	3364853	YES	38	0	0	38	0	0	0.0000
Streptomyces sp. NPDC012835	3364854	YES	10	0	0	10	0	0	0.0000
Streptomyces sp. NPDC012888	3364855	YES	6087	0	0	6087	0	0	0.0000
Streptomyces sp. NPDC012904	3364856	YES	12	0	0	12	0	0	0.0000
Streptomyces sp. NPDC012935	3364857	YES	7370	0	0	7370	0	0	0.0000
Streptomyces sp. NPDC012950	3364858	YES	3579	0	0	3579	0	0	0.0000
Streptomyces sp. NPDC012972	3364859	YES	2	0	0	2	0	0	0.0000
Streptomyces sp. NPDC013012	3364860	YES	2779	0	0	2779	0	0	0.0000
Streptomyces sp. NPDC013157	3364861	YES	7541	0	0	7541	0	0	0.0000
Streptomyces sp. NPDC013161	3364862	YES	7785	0	0	7785	0	0	0.0000
Streptomyces sp. NPDC013171	3364863	YES	2186	0	0	2186	0	0	0.0000
Streptomyces sp. NPDC013181	3364864	YES	2829	0	0	2829	0	0	0.0000
Streptomyces sp. NPDC013187	3364865	YES	6709	0	0	6709	0	0	0.0000
Streptomyces sp. NPDC013457	3364866	YES	3062	0	0	3062	0	0	0.0000
Streptomyces sp. NPDC013740	3364867	YES	2476	0	0	2476	0	0	0.0000
Streptomyces sp. NPDC013953	3364868	YES	5571	0	0	5571	0	0	0.0000
Streptomyces sp. NPDC013978	3364869	YES	3586	0	0	3586	0	0	0.0000
Streptomyces sp. NPDC014006	3364870	YES	6796	0	0	6796	0	0	0.0000
Streptomyces sp. NPDC014344	3364871	YES	2067	0	0	2067	0	0	0.0000
Streptomyces sp. NPDC014376	3364872	YES	29	0	0	29	0	0	0.0000
Streptomyces sp. NPDC014603	3364873	YES	986	0	0	986	0	0	0.0000
Streptomyces sp. NPDC014622	3364874	YES	2391	0	0	2391	0	0	0.0000
Streptomyces sp. NPDC014623	3364875	YES	6316	0	0	6316	0	0	0.0000
Streptomyces sp. NPDC014636	3364876	YES	5114	0	0	5114	0	0	0.0000
Streptomyces sp. NPDC014646	3364877	YES	2222	0	0	2222	0	0	0.0000
Streptomyces sp. NPDC014656	3364878	YES	2679	0	0	2679	0	0	0.0000
Streptomyces sp. NPDC014676	3364879	YES	6744	0	0	6744	0	0	0.0000
Streptomyces sp. NPDC014684	3364880	YES	3647	0	0	3647	0	0	0.0000
Streptomyces sp. NPDC014685	3364881	YES	5893	0	0	5893	0	0	0.0000
Streptomyces sp. NPDC014724	3364882	YES	131	0	0	131	0	0	0.0000
Streptomyces sp. NPDC014727	3364883	YES	113	0	0	113	0	0	0.0000
Streptomyces sp. NPDC014728	3364884	YES	23	0	0	23	0	0	0.0000
Streptomyces sp. NPDC014733	3364885	YES	5644	0	0	5644	0	0	0.0000
Streptomyces sp. NPDC014734	3364886	YES	7050	0	0	7050	0	0	0.0000
Streptomyces sp. NPDC014735	3364887	YES	398	0	0	398	0	0	0.0000
Streptomyces sp. NPDC014738	3364901	YES	14	0	0	14	0	0	0.0000
Streptomyces sp. NPDC014741	3364902	YES	29	0	0	29	0	0	0.0000
Streptomyces sp. NPDC014744	3364903	YES	3023	0	0	3023	0	0	0.0000
Streptomyces sp. NPDC014746	3364904	YES	3471	0	0	3471	0	0	0.0000
Streptomyces sp. NPDC014748	3364905	YES	3770	0	0	3770	0	0	0.0000
Streptomyces sp. NPDC014758	3364906	YES	6	0	0	6	0	0	0.0000
Streptomyces sp. NPDC014764	3364907	YES	1480	0	0	1480	0	0	0.0000
Streptomyces sp. NPDC014773	3364908	YES	2811	0	0	2811	0	0	0.0000
Streptomyces sp. NPDC014776	3364909	YES	1978	0	0	1978	0	0	0.0000
Streptomyces sp. NPDC014777	3364910	YES	192	0	0	192	0	0	0.0000
Streptomyces sp. NPDC014779	3364911	YES	2936	0	0	2936	0	0	0.0000
Streptomyces sp. NPDC014791	3364912	YES	282	0	0	282	0	0	0.0000
Streptomyces sp. NPDC014792	3364913	YES	27	0	0	27	0	0	0.0000
Streptomyces sp. NPDC014793	3364914	YES	2917	0	0	2917	0	0	0.0000
Streptomyces sp. NPDC014796	3364915	YES	105	0	0	105	0	0	0.0000
Streptomyces sp. NPDC014801	3364916	YES	1898	0	0	1898	0	0	0.0000
Streptomyces sp. NPDC014802	3364917	YES	2552	0	0	2552	0	0	0.0000
Streptomyces sp. NPDC014803	3364918	YES	9	0	0	9	0	0	0.0000
Streptomyces sp. NPDC014805	3364919	YES	2490	0	0	2490	0	0	0.0000
Streptomyces sp. NPDC014806	3364920	YES	2556	0	0	2556	0	0	0.0000
Streptomyces sp. NPDC014820	3364921	YES	54	0	0	54	0	0	0.0000
Streptomyces sp. NPDC014846	3364922	YES	2905	0	0	2905	0	0	0.0000
Streptomyces sp. NPDC014861	3364923	YES	5362	0	0	5362	0	0	0.0000
Streptomyces sp. NPDC014864	3364924	YES	5952	0	0	5952	0	0	0.0000
Streptomyces sp. NPDC014870	3364925	YES	3835	0	0	3835	0	0	0.0000
Streptomyces sp. NPDC014872	3364926	YES	2151	0	0	2151	0	0	0.0000
Streptomyces sp. NPDC014882	3364927	YES	3901	0	0	3901	0	0	0.0000
Streptomyces sp. NPDC014889	3364928	YES	6572	0	0	6572	0	0	0.0000
Streptomyces sp. NPDC014891	3364929	YES	5573	0	0	5573	0	0	0.0000
Streptomyces sp. NPDC014892	3364930	YES	5341	0	0	5341	0	0	0.0000
Streptomyces sp. NPDC014894	3364931	YES	5112	0	0	5112	0	0	0.0000
Streptomyces sp. NPDC014940	3364932	YES	3747	0	0	3747	0	0	0.0000
Streptomyces sp. NPDC014983	3364933	YES	6181	0	0	6181	0	0	0.0000
Streptomyces sp. NPDC014986	3364934	YES	3971	0	0	3971	0	0	0.0000
Streptomyces sp. NPDC014991	3364935	YES	4208	0	0	4208	0	0	0.0000
Streptomyces sp. NPDC014995	3364936	YES	7247	0	0	7247	0	0	0.0000
Streptomyces sp. NPDC015032	3364937	YES	7581	0	0	7581	0	0	0.0000
Streptomyces sp. NPDC015125	3364938	YES	7463	0	0	7463	0	0	0.0000
Streptomyces sp. NPDC015127	3364939	YES	7017	0	0	7017	0	0	0.0000
Streptomyces sp. NPDC015130	3364940	YES	5128	0	0	5128	0	0	0.0000
Streptomyces sp. NPDC015131	3364941	YES	5924	0	0	5924	0	0	0.0000
Streptomyces sp. NPDC015139	3364942	YES	6066	0	0	6066	0	0	0.0000
Streptomyces sp. NPDC015140	3364943	YES	2718	0	0	2718	0	0	0.0000
Streptomyces sp. NPDC015144	3364944	YES	3315	0	0	3315	0	0	0.0000
Streptomyces sp. NPDC015171	3364945	YES	7819	0	0	7819	0	0	0.0000
Streptomyces sp. NPDC015184	3364946	YES	6189	0	0	6189	0	0	0.0000
Streptomyces sp. NPDC015220	3364947	YES	7316	0	0	7316	0	0	0.0000
Streptomyces sp. NPDC015232	3364948	YES	39	0	0	39	0	0	0.0000
Streptomyces sp. NPDC015237	3364949	YES	2788	0	0	2788	0	0	0.0000
Streptomyces sp. NPDC015238	3364950	YES	36	0	0	36	0	0	0.0000
Streptomyces sp. NPDC015242	3364951	YES	4828	0	0	4828	0	0	0.0000
Streptomyces sp. NPDC015245	3364952	YES	30	0	0	30	0	0	0.0000
Streptomyces sp. NPDC015345	3364953	YES	5726	0	0	5726	0	0	0.0000
Streptomyces sp. NPDC015346	3364954	YES	6428	0	0	6428	0	0	0.0000
Streptomyces sp. NPDC015350	3364955	YES	6370	0	0	6370	0	0	0.0000
Streptomyces sp. NPDC015408	3364956	YES	2909	0	0	2909	0	0	0.0000
Streptomyces sp. NPDC015414	3364957	YES	3084	0	0	3084	0	0	0.0000
Streptomyces sp. NPDC015492	3364958	YES	3836	0	0	3836	0	0	0.0000
Streptomyces sp. NPDC015501	3364959	YES	38	0	0	38	0	0	0.0000
Streptomyces sp. NPDC015532	3364960	YES	3332	0	0	3332	0	0	0.0000
Streptomyces sp. NPDC015661	3364961	YES	6845	0	0	6845	0	0	0.0000
Streptomyces sp. NPDC015680	3364962	YES	1826	0	0	1826	0	0	0.0000
Streptomyces sp. NPDC015684	3364963	YES	2575	0	0	2575	0	0	0.0000
Streptomyces sp. NPDC016172	3364964	YES	5423	0	0	5423	0	0	0.0000
Streptomyces sp. NPDC016309	3364965	YES	2465	0	0	2465	0	0	0.0000
Streptomyces sp. NPDC016562	3364966	YES	1894	0	0	1894	0	0	0.0000
Streptomyces sp. NPDC016566	3364967	YES	2981	0	0	2981	0	0	0.0000
Streptomyces sp. NPDC016626	3364968	YES	2691	0	0	2691	0	0	0.0000
Streptomyces sp. NPDC016640	3364969	YES	2559	0	0	2559	0	0	0.0000
Streptomyces sp. NPDC016675	3364970	YES	2610	0	0	2610	0	0	0.0000
Streptomyces sp. NPDC016734	3364971	YES	46	0	0	46	0	0	0.0000
Streptomyces sp. NPDC016845	3364972	YES	7945	0	0	7945	0	0	0.0000
Streptomyces sp. NPDC017056	3364973	YES	5074	0	0	5074	0	0	0.0000
Streptomyces sp. NPDC017082	3364974	YES	2319	0	0	2319	0	0	0.0000
Streptomyces sp. NPDC017083	3364975	YES	28	0	0	28	0	0	0.0000
Streptomyces sp. NPDC017086	3364976	YES	2170	0	0	2170	0	0	0.0000
Streptomyces sp. NPDC017095	3364977	YES	2553	0	0	2553	0	0	0.0000
Streptomyces sp. NPDC017102	3364978	YES	28	0	0	28	0	0	0.0000
Streptomyces sp. NPDC017179	3364979	YES	5600	0	0	5600	0	0	0.0000
Streptomyces sp. NPDC017201	3364980	YES	141	0	0	141	0	0	0.0000
Streptomyces sp. NPDC017202	3364981	YES	5909	0	0	5909	0	0	0.0000
Streptomyces sp. NPDC017225	3364982	YES	44	0	0	44	0	0	0.0000
Streptomyces sp. NPDC017227	3364983	YES	44	0	0	44	0	0	0.0000
Streptomyces sp. NPDC017230	3364984	YES	39	0	0	39	0	0	0.0000
Streptomyces sp. NPDC017246	3364985	YES	45	0	0	45	0	0	0.0000
Streptomyces sp. NPDC017248	3364986	YES	18	0	0	18	0	0	0.0000
Streptomyces sp. NPDC017249	3364987	YES	29	0	0	29	0	0	0.0000
Streptomyces sp. NPDC017252	3364988	YES	21	0	0	21	0	0	0.0000
Streptomyces sp. NPDC017254	3364989	YES	52	0	0	52	0	0	0.0000
Streptomyces sp. NPDC017256	3364990	YES	15	0	0	15	0	0	0.0000
Streptomyces sp. NPDC017259	3364991	YES	56	0	0	56	0	0	0.0000
Streptomyces sp. NPDC017260	3364992	YES	21	0	0	21	0	0	0.0000
Streptomyces sp. NPDC017405	3364993	YES	24	0	0	24	0	0	0.0000
Streptomyces sp. NPDC017413	3364994	YES	1853	0	0	1853	0	0	0.0000
Streptomyces sp. NPDC017435	3364995	YES	4043	0	0	4043	0	0	0.0000
Streptomyces sp. NPDC017448	3364996	YES	5429	0	0	5429	0	0	0.0000
Streptomyces sp. NPDC017454	3364997	YES	2510	0	0	2510	0	0	0.0000
Streptomyces sp. NPDC017520	3364998	YES	6515	0	0	6515	0	0	0.0000
Streptomyces sp. NPDC017524	3364999	YES	1891	0	0	1891	0	0	0.0000
Streptomyces sp. NPDC017529	3365000	YES	7101	0	0	7101	0	0	0.0000
Streptomyces sp. NPDC017546	3365001	YES	2270	0	0	2270	0	0	0.0000
Streptomyces sp. NPDC017556	3365002	YES	1886	0	0	1886	0	0	0.0000
Streptomyces sp. NPDC017615	3365003	YES	2303	0	0	2303	0	0	0.0000
Streptomyces sp. NPDC017638	3365004	YES	3401	0	0	3401	0	0	0.0000
Streptomyces sp. NPDC017673	3365005	YES	106	0	0	106	0	0	0.0000
Streptomyces sp. NPDC017676	3365006	YES	32	0	0	32	0	0	0.0000
Streptomyces sp. NPDC017837	3365007	YES	2	0	0	2	0	0	0.0000
Streptomyces sp. NPDC017849	3365008	YES	25	0	0	25	0	0	0.0000
Streptomyces sp. NPDC017851	3365009	YES	5	0	0	5	0	0	0.0000
Streptomyces sp. NPDC017852	3365010	YES	1	0	0	1	0	0	0.0000
Streptomyces sp. NPDC017859	3365011	YES	6	0	0	6	0	0	0.0000
Streptomyces sp. NPDC017861	3365012	YES	6	0	0	6	0	0	0.0000
Streptomyces sp. NPDC017862	3365013	YES	7	0	0	7	0	0	0.0000
Streptomyces sp. NPDC017868	3365014	YES	2985	0	0	2985	0	0	0.0000
Streptomyces sp. NPDC017890	3365015	YES	6389	0	0	6389	0	0	0.0000
Streptomyces sp. NPDC017936	3365016	YES	7445	0	0	7445	0	0	0.0000
Streptomyces sp. NPDC017940	3365017	YES	4752	0	0	4752	0	0	0.0000
Streptomyces sp. NPDC017941	3365018	YES	4719	0	0	4719	0	0	0.0000
Streptomyces sp. NPDC017943	3365019	YES	4813	0	0	4813	0	0	0.0000
Streptomyces sp. NPDC017949	3365020	YES	2358	0	0	2358	0	0	0.0000
Streptomyces sp. NPDC017958	3365021	YES	3652	0	0	3652	0	0	0.0000
Streptomyces sp. NPDC017964	3365022	YES	3188	0	0	3188	0	0	0.0000
Streptomyces sp. NPDC017966	3365023	YES	2805	0	0	2805	0	0	0.0000
Streptomyces sp. NPDC017979	3365024	YES	5186	0	0	5186	0	0	0.0000
Streptomyces sp. NPDC017988	3365025	YES	5473	0	0	5473	0	0	0.0000
Streptomyces sp. NPDC017991	3365026	YES	8173	0	0	8173	0	0	0.0000
Streptomyces sp. NPDC017993	3365027	YES	7216	0	0	7216	0	0	0.0000
Streptomyces sp. NPDC018000	3365028	YES	5915	0	0	5915	0	0	0.0000
Streptomyces sp. NPDC018007	3365029	YES	2070	0	0	2070	0	0	0.0000
Streptomyces sp. NPDC018019	3365030	YES	5136	0	0	5136	0	0	0.0000
Streptomyces sp. NPDC018026	3365031	YES	7065	0	0	7065	0	0	0.0000
Streptomyces sp. NPDC018029	3365032	YES	4430	0	0	4430	0	0	0.0000
Streptomyces sp. NPDC018031	3365033	YES	5550	0	0	5550	0	0	0.0000
Streptomyces sp. NPDC018034	3365034	YES	36	0	0	36	0	0	0.0000
Streptomyces sp. NPDC018036	3365035	YES	2181	0	0	2181	0	0	0.0000
Streptomyces sp. NPDC018038	3365036	YES	609	0	0	609	0	0	0.0000
Streptomyces sp. NPDC018045	3365037	YES	7108	0	0	7108	0	0	0.0000
Streptomyces sp. NPDC018055	3365038	YES	2116	0	0	2116	0	0	0.0000
Streptomyces sp. NPDC018056	3365039	YES	17	0	0	17	0	0	0.0000
Streptomyces sp. NPDC018057	3365040	YES	22	0	0	22	0	0	0.0000
Streptomyces sp. NPDC018059	3365041	YES	5822	0	0	5822	0	0	0.0000
Streptomyces sp. NPDC018063	3365042	YES	12	0	0	12	0	0	0.0000
Streptomyces sp. NPDC018321	3365043	YES	62	0	0	62	0	0	0.0000
Streptomyces sp. NPDC018322	3365044	YES	49	0	0	49	0	0	0.0000
Streptomyces sp. NPDC018584	3365045	YES	16	0	0	16	0	0	0.0000
Streptomyces sp. NPDC018585	3365046	YES	12	0	0	12	0	0	0.0000
Streptomyces sp. NPDC018586	3365047	YES	17	0	0	17	0	0	0.0000
Streptomyces sp. NPDC018587	3365048	YES	21	0	0	21	0	0	0.0000
Streptomyces sp. NPDC018610	3365049	YES	6392	0	0	6392	0	0	0.0000
Streptomyces sp. NPDC018647	3365050	YES	20	0	0	20	0	0	0.0000
Streptomyces sp. NPDC018693	3365051	YES	15	0	0	15	0	0	0.0000
Streptomyces sp. NPDC018711	3365052	YES	139	0	0	139	0	0	0.0000
Streptomyces sp. NPDC018833	3365053	YES	6358	0	0	6358	0	0	0.0000
Streptomyces sp. NPDC018947	3365054	YES	3980	0	0	3980	0	0	0.0000
Streptomyces sp. NPDC018955	3365055	YES	3010	0	0	3010	0	0	0.0000
Streptomyces sp. NPDC018957	3365056	YES	23	0	0	23	0	0	0.0000
Streptomyces sp. NPDC018960	3365057	YES	7	0	0	7	0	0	0.0000
Streptomyces sp. NPDC018964	3365058	YES	2919	0	0	2919	0	0	0.0000
Streptomyces sp. NPDC018967	3365059	YES	44	0	0	44	0	0	0.0000
Streptomyces sp. NPDC018972	3365060	YES	5891	0	0	5891	0	0	0.0000
Streptomyces sp. NPDC019443	3365061	YES	6866	0	0	6866	0	0	0.0000
Streptomyces sp. NPDC019531	3365062	YES	8299	0	0	8299	0	0	0.0000
Streptomyces sp. NPDC019539	3365063	YES	1471	0	0	1471	0	0	0.0000
Streptomyces sp. NPDC019890	3365064	YES	6174	0	0	6174	0	0	0.0000
Streptomyces sp. NPDC020141	3365065	YES	3807	0	0	3807	0	0	0.0000
Streptomyces sp. NPDC020192	3365066	YES	8655	0	0	8655	0	0	0.0000
Streptomyces sp. NPDC020299	3365067	YES	313	0	0	313	0	0	0.0000
Streptomyces sp. NPDC020328	3365068	YES	40	0	0	40	0	0	0.0000
Streptomyces sp. NPDC020330	3365069	YES	39	0	0	39	0	0	0.0000
Streptomyces sp. NPDC020377	3365070	YES	2736	0	0	2736	0	0	0.0000
Streptomyces sp. NPDC020379	3365071	YES	5643	0	0	5643	0	0	0.0000
Streptomyces sp. NPDC020406	3365072	YES	19	0	0	19	0	0	0.0000
Streptomyces sp. NPDC020412	3365073	YES	4598	0	0	4598	0	0	0.0000
Streptomyces sp. NPDC020422	3365074	YES	2141	0	0	2141	0	0	0.0000
Streptomyces sp. NPDC020472	3365075	YES	5097	0	0	5097	0	0	0.0000
Streptomyces sp. NPDC020480	3365076	YES	1945	0	0	1945	0	0	0.0000
Streptomyces sp. NPDC020489	3365077	YES	3517	0	0	3517	0	0	0.0000
Streptomyces sp. NPDC020490	3365078	YES	6960	0	0	6960	0	0	0.0000
Streptomyces sp. NPDC020571	3365079	YES	3300	0	0	3300	0	0	0.0000
Streptomyces sp. NPDC020597	3365080	YES	78	0	0	78	0	0	0.0000
Streptomyces sp. NPDC020598	3365081	YES	84	0	0	84	0	0	0.0000
Streptomyces sp. NPDC020607	3365082	YES	5961	0	0	5961	0	0	0.0000
Streptomyces sp. NPDC020681	3365083	YES	7726	0	0	7726	0	0	0.0000
Streptomyces sp. NPDC020707	3365084	YES	3729	0	0	3729	0	0	0.0000
Streptomyces sp. NPDC020731	3365085	YES	6531	0	0	6531	0	0	0.0000
Streptomyces sp. NPDC020747	3365086	YES	5345	0	0	5345	0	0	0.0000
Streptomyces sp. NPDC020777	3365087	YES	10	0	0	10	0	0	0.0000
Streptomyces sp. NPDC020780	3365088	YES	9	0	0	9	0	0	0.0000
Streptomyces sp. NPDC020792	3365089	YES	5412	0	0	5412	0	0	0.0000
Streptomyces sp. NPDC020794	3365090	YES	136	0	0	136	0	0	0.0000
Streptomyces sp. NPDC020799	3365091	YES	1935	0	0	1935	0	0	0.0000
Streptomyces sp. NPDC020800	3365092	YES	7979	0	0	7979	0	0	0.0000
Streptomyces sp. NPDC020801	3365093	YES	1717	0	0	1717	0	0	0.0000
Streptomyces sp. NPDC020802	3365094	YES	3154	0	0	3154	0	0	0.0000
Streptomyces sp. NPDC020817	3365095	YES	3371	0	0	3371	0	0	0.0000
Streptomyces sp. NPDC020845	3365096	YES	9094	0	0	9094	0	0	0.0000
Streptomyces sp. NPDC020858	3365097	YES	5615	0	0	5615	0	0	0.0000
Streptomyces sp. NPDC020880	3365098	YES	63	0	0	63	0	0	0.0000
Streptomyces sp. NPDC020883	3365099	YES	3587	0	0	3587	0	0	0.0000
Streptomyces sp. NPDC020884	3365100	YES	47	0	0	47	0	0	0.0000
Streptomyces sp. NPDC020898	3365101	YES	9092	0	0	9092	0	0	0.0000
Streptomyces sp. NPDC020917	3365102	YES	7867	0	0	7867	0	0	0.0000
Streptomyces sp. NPDC020939	3365103	YES	37	0	0	37	0	0	0.0000
Streptomyces sp. NPDC020951	3365104	YES	5499	0	0	5499	0	0	0.0000
Streptomyces sp. NPDC020965	3365105	YES	6997	0	0	6997	0	0	0.0000
Streptomyces sp. NPDC020983	3365106	YES	6935	0	0	6935	0	0	0.0000
Streptomyces sp. NPDC021012	3365107	YES	2813	0	0	2813	0	0	0.0000
Streptomyces sp. NPDC021019	3365108	YES	2078	0	0	2078	0	0	0.0000
Streptomyces sp. NPDC021020	3365109	YES	7003	0	0	7003	0	0	0.0000
Streptomyces sp. NPDC021080	3365110	YES	8227	0	0	8227	0	0	0.0000
Streptomyces sp. NPDC021086	3365111	YES	186	0	0	186	0	0	0.0000
Streptomyces sp. NPDC021093	3365112	YES	8043	0	0	8043	0	0	0.0000
Streptomyces sp. NPDC021098	3365113	YES	142	0	0	142	0	0	0.0000
Streptomyces sp. NPDC021100	3365114	YES	6406	0	0	6406	0	0	0.0000
Streptomyces sp. NPDC021115	3365115	YES	125	0	0	125	0	0	0.0000
Streptomyces sp. NPDC021140	3365116	YES	188	0	0	188	0	0	0.0000
Streptomyces sp. NPDC021203	3365117	YES	32	0	0	32	0	0	0.0000
Streptomyces sp. NPDC021212	3365118	YES	7724	0	0	7724	0	0	0.0000
Streptomyces sp. NPDC021218	3365119	YES	2955	0	0	2955	0	0	0.0000
Streptomyces sp. NPDC021224	3365120	YES	34	0	0	34	0	0	0.0000
Streptomyces sp. NPDC021225	3365121	YES	1040	0	0	1040	0	0	0.0000
Streptomyces sp. NPDC029674	3365297	YES	7447	0	0	7447	0	0	0.0000
Streptomyces sp. NPDC030920	3365308	YES	76	0	0	76	0	0	0.0000
Streptomyces sp. NPDC033754	3365318	YES	213	0	0	213	0	0	0.0000
Streptomyces sp. NPDC047706	3365486	YES	6084	0	0	6084	0	0	0.0000
Streptomyces sp. NPDC047725	3365487	YES	3581	0	0	3581	0	0	0.0000
Streptomyces sp. NPDC047821	3365488	YES	3993	0	0	3993	0	0	0.0000
Streptomyces sp. NPDC047853	3365489	YES	172	0	0	172	0	0	0.0000
Streptomyces sp. NPDC047886	3365490	YES	314	0	0	314	0	0	0.0000
Streptomyces sp. NPDC047917	3365491	YES	7114	0	0	7114	0	0	0.0000
Streptomyces sp. NPDC047928	3365492	YES	93	0	0	93	0	0	0.0000
Streptomyces sp. NPDC047972	3365493	YES	2437	0	0	2437	0	0	0.0000
Streptomyces sp. NPDC047980	3365494	YES	1631	0	0	1631	0	0	0.0000
Streptomyces sp. NPDC047982	3365495	YES	176	0	0	176	0	0	0.0000
Streptomyces sp. NPDC047990	3365496	YES	4317	0	0	4317	0	0	0.0000
Streptomyces sp. NPDC047999	3365497	YES	1876	0	0	1876	0	0	0.0000
Streptomyces sp. NPDC048001	3365498	YES	1661	0	0	1661	0	0	0.0000
Streptomyces sp. NPDC048018	3365499	YES	6580	0	0	6580	0	0	0.0000
Streptomyces sp. NPDC048111	3365500	YES	6615	0	0	6615	0	0	0.0000
Streptomyces sp. NPDC048142	3365501	YES	6587	0	0	6587	0	0	0.0000
Streptomyces sp. NPDC048156	3365502	YES	1910	0	0	1910	0	0	0.0000
Streptomyces sp. NPDC048157	3365503	YES	1564	0	0	1564	0	0	0.0000
Streptomyces sp. NPDC048171	3365504	YES	2879	0	0	2879	0	0	0.0000
Streptomyces sp. NPDC048172	3365505	YES	8512	0	0	8512	0	0	0.0000
Streptomyces sp. NPDC048179	3365506	YES	7624	0	0	7624	0	0	0.0000
Streptomyces sp. NPDC048182	3365507	YES	4819	0	0	4819	0	0	0.0000
Streptomyces sp. NPDC048185	3365508	YES	183	0	0	183	0	0	0.0000
